time,open,high,low,close,tick_volume,spread,real_volume
2026-04-10 04:00:00,1.16878,1.16946,1.1685699999999999,1.16919,1725,1,0
2026-04-10 05:00:00,1.16923,1.16941,1.16853,1.1690800000000001,1556,2,0
2026-04-10 06:00:00,1.1690800000000001,1.16967,1.16888,1.16956,1472,0,0
2026-04-10 07:00:00,1.16956,1.16965,1.16898,1.16919,1100,0,0
2026-04-10 08:00:00,1.16919,1.16926,1.16868,1.16902,1495,0,0
2026-04-10 09:00:00,1.16902,1.1693500000000001,1.16824,1.16845,2818,0,0
2026-04-10 10:00:00,1.16841,1.16896,1.16785,1.16797,2736,0,0
2026-04-10 11:00:00,1.1679599999999999,1.16897,1.16765,1.16856,2968,0,0
2026-04-10 12:00:00,1.16856,1.17109,1.16845,1.17099,5352,0,0
2026-04-10 13:00:00,1.17099,1.17157,1.1705,1.17127,3411,0,0
2026-04-10 14:00:00,1.17127,1.17187,1.171,1.17139,2948,0,0
2026-04-10 15:00:00,1.17139,1.17256,1.17094,1.17207,5793,0,0
2026-04-10 16:00:00,1.17207,1.17346,1.17179,1.17276,6325,0,0
2026-04-10 17:00:00,1.17276,1.17381,1.17198,1.17277,6973,0,0
2026-04-10 18:00:00,1.17276,1.17394,1.1721300000000001,1.1722299999999999,5218,0,0
2026-04-10 19:00:00,1.1722299999999999,1.17253,1.17129,1.17201,4233,0,0
2026-04-10 20:00:00,1.17201,1.1726,1.17185,1.17232,2872,0,0
2026-04-10 21:00:00,1.17232,1.17353,1.17177,1.17314,3071,0,0
2026-04-10 22:00:00,1.17314,1.17325,1.17264,1.17273,2048,0,0
2026-04-10 23:00:00,1.17272,1.17307,1.17215,1.17259,2404,0,0
2026-04-13 00:00:00,1.1670099999999999,1.16804,1.16635,1.16707,1270,3,0
2026-04-13 01:00:00,1.16702,1.16782,1.16655,1.16721,4357,1,0
2026-04-13 02:00:00,1.16721,1.16753,1.16639,1.16747,2256,0,0
2026-04-13 03:00:00,1.16747,1.16875,1.16708,1.16875,2977,0,0
2026-04-13 04:00:00,1.16876,1.16895,1.16804,1.16862,2391,0,0
2026-04-13 05:00:00,1.16862,1.16897,1.16846,1.16882,1728,0,0
